version_folder,version,files,note,summary
亂世演算_V8_3_穩定市場版,8.3.0,2,亂世演算_V8_3_穩定市場版_說明.txt,每輪及存檔前核對：累計發行 = 各國金幣總和 + 世界銀行庫存。；UI 顯示流通量、銀行庫存、累計發行、累計回流及守恆差額。；新增逆週期流動性回流：每 10 輪檢查一次；銀行保留 360 金幣重建準備金後，最多釋出庫存的 20%，優先支援人均金幣低於 3 的存活國家，每國單次最多 60 金幣。；回流只動用銀行既有庫存，不增加 issued_total，也不干預商品價格。
亂世演算_V8_4_0_多層強化學習實驗版,8.4.0,4,亂世演算_V8_4_多層強化學習實驗版_說明.txt,決策拆成三層：國家戰略（8 動作）、市場（7 動作＋3 級報價＋3 級數量）、聯盟（6 動作）。三層每回合可並行，不再互相搶同一次決策。；每國使用獨立 Expected SARSA(lambda)，lambda=0.80、gamma=0.975，以稀疏 eligibility traces 處理延遲效果。；獎勵改為正規化潛勢差分：相對戰力、人口、市值資產、糧食安全、穩定、戰爭疲勞與吞併；移除「活著就加分」與「行動成功就加固定分」的刷分點。；epsilon 有下限、慢速衰減、週期探索脈衝、新狀態加成與政權劇變後探索加成。
亂世演算_V8_4_2_多經濟資產分級,8.4.2,2,亂世演算_V8_4_2_多經濟資產分級_說明.txt,
亂世演算_V8_4_3_基建與產業配置版,8.4.3,2,亂世演算_V8_4_3_基建與產業配置版_說明.txt,移除直接增加糧食、木材與金屬的「經濟發展」。；國家必須實際支付金幣、木材及金屬，才能提升基礎建設。；基礎建設上限 100，每次成功投資增加 3～6 點。；成本隨基建等級提高：
亂世演算_V8_4_4_聯盟學習平衡版,8.4.4,2,亂世演算_V8_4_4_聯盟學習平衡版_說明.txt,原本同一戰略會在有惡名時固定改做聲望修復，導致許多國家無法真正嘗試結盟。；戰略層改為 11 個動作：；結盟與共同防禦：只對應 Action 1。；聲望與外交修復：只對應 Action 9。
亂世演算_V8_4_5_戰爭勝算評估版,8.4.5,2,亂世演算_V8_4_5_戰爭勝算評估版_說明.txt,不再只比較進攻國與目標國的個別戰力。；估算包含攻守雙方普通聯盟成員；盟友依預估參戰率折算。；每個國家的有效戰力會考慮：；糧食、金屬與木材補給。
亂世演算_V8_4_6_賽季爭冠學習版,8.4.6,2,亂世演算_V8_4_6_賽季爭冠學習版_說明.txt,"樣本已執行至第 3 屆、約 Turn 3,600，累積約 27,040 個 Q-State。；戰力 Gini 為 0.428，並非戰力過於平均；國家強弱差距已相當明顯。；財富 Gini 為 0.674，貧富差距比戰力差距更大。；實際第一主傾向分布："
亂世演算_V8_4_8_戰爭經濟重整版,8.4.8,2,亂世演算_V8_4_8_戰爭經濟重整版_說明.txt,5 : 1	🔴 極端軍力缺口；5 倍以上 → 如果糧食、金屬、可徵人口都足夠，啟動最後一道安全動員
亂世演算_V8_4_9_自主決策修正版,8.4.9,3,亂世演算_V8_4_9_自主決策修正版_說明.txt,新增獨立的「亂世演算_V8_4_9_決策分析.py」。經濟、軍事、外交、人口、內政、外部情報、長期戰略七項分析均為只讀，輸出 0～1 的報告，不直接修改國家資料或執行動作。；國家決策中樞只把分析報告收斂到原本的「戰前風險／動員需求」兩個 State 維度，不增加 Q-table 維數，也不改 Action 編號。；移除「高戰前風險擲骰就動員」及「農夫對士兵達 4.5 倍就強制動員」的捷徑。風險仍會被觀察，Q 值可以選擇動員，也可以選擇其他可執行策略。；啟動器改為載入本版引擎並更新視窗名稱；舊 UI 的布局、頁籤和其餘行為維持原樣。
亂世演算_V8_4_11_動態交易貨幣輪替版,8.4.11,5,亂世演算_V8_4_11_動態交易貨幣輪替版_說明.txt,
亂世演算_V8_4_12_狀態濃縮四維,8.4.12,6,亂世演算_V8_4_12_戰略狀態256版_說明.txt,
亂世演算_V8_4_13_平滑政策價格指數版,8.4.13,8,亂世演算_V8_4_13_平滑政策價格指數版_說明.txt,
亂世演算_V8_4_14_貨幣循環修正版,8.4.14,7,亂世演算_V8_4_14_貨幣循環修正版_說明.txt,
亂世演算_V8_5_0_貨幣重定面額版_完整套件,8.5.0,8,,
亂世演算_V8_5_1_國家經驗查詢版,8.5.1,11,亂世演算_V8_5_1_換幣與護盤_說明.txt,
亂世演算_V8_5_2_年度稅與當前經驗版,8.5.2,12,亂世演算_V8_5_2_經驗按鈕_說明.txt,
亂世演算_V8_5_3_供需平衡版_完整套件,8.5.3,10,亂世演算_V8_5_3_供需平衡版_說明.txt,移除年度財富排名稅（原最富 40%、最低 10%）：引擎不再呼叫年度收稅／分配函式，發行銀行的新世界資料亦不建立稅務欄位。舊存檔中已累積的歷史稅務欄位可能仍保留，但不再增加。其他政策支出、成交手續費、既有銀行資金回流規則維持原樣。；糧食：每位農民每輪基礎產量 4.8→4.2；庫存足夠 8.5 輪（原 12 輪）後採集效率降至 28%（原 35%）。飢荒預警與人口糧食消耗不變。；木材：每位農民每輪基礎產量 2.0→1.5。庫存超過人口×3 時採集效率由原固定 20% 調為 12%×(人口×3/庫存)^8，最低 0.5%；不直接刪除過剩庫存。房屋每間每輪實際消耗 0.12 木材，按累積的小數扣整數，扣量不超過持有木材；金額為零，且不會憑空創造木材。人口規模、建房與市場交易繼續影響用量。；金屬基礎產率與維持費未更動；需另外觀察個別種子長局金屬庫存。
亂世演算_V8_5_5_供需貨幣穩定版,8.5.5,11,亂世演算_V8_5_5_供需貨幣穩定版_說明.txt,原農民裝修木材維持費設為 FARMER_WOOD_UPKEEP = 0.5（每名農民、每輪），符合使用者最新設定。；一般 AUTO 配工的初始參考比例為糧食 50%、木材 36%、金屬 14%。；依該國各資源「庫存 / 維持安全庫存」以及有足夠實際成交的前後兩期 VWAP 趨勢，緩慢調整分工；每輪每項最多變動約 6 個百分點，保留糧食及金屬最低工作比例。；糧荒配給/漸進退伍與 AI 主動設定的限時產業專精不變；不另加固定價格，也不改動 RL 狀態鍵或動作編號。
亂世演算_V8_5_7_換幣計價監測修正版_完整套件,8.5.7,8,亂世演算_V8_5_7_換幣計價監測修正版_說明.txt,市場價格下限與上限，原本永久以 seed_price 為基礎；改為 seed_price × 當前貨幣面額倍率。每次換幣時同步記錄市場與銀行面額倍率，價格及既有掛單照原規則乘以 10。這是維持同一個名目計價單位的技術修正，並非由銀行買貨護盤。；屆末換幣觸發標準改為「當前面額倍率 × 商品初始參考價 × 10%」；不再拿新幣成交價與舊幣的固定參考價直接比較。；成交監測保留微小正數，不再把高面額下的價格指數及三種標準化 VWAP 固定四捨五入至 0.0。監測窗記錄面額倍率；換幣跨越的三窗不可混作連續跌價。；以實際成交價計算指數和銀行回流的原有其他條件沒有更動；若成交量未縮、並非連跌三窗，即使銀行金庫龐大也不會因本次修正強行回流或印錢。AI 報價策略、實物產銷與政策倍率保留上傳版本。
亂世演算_V8_5_8_自主報價修正版_完整套件,8.5.8,9,亂世演算_V8_5_8_自主報價修正版_說明.txt,以前買賣掛單只以最近成交價為中心，讓價格 Q 動作選 ±6%。即使木材快耗盡，買家也不會按庫存急迫程度提高出價，形成低價沿襲。；現在依「當前庫存/本國目標庫存」調整本國保留價格：資源越缺，買方越願意提高出價；買方庫存充裕則降低出價。庫存緊的賣方要求較高底價，真正過剩才折讓。原本價格 Q 動作 ±6%、市場單量 Q 動作及對手掛單撮合機制均繼續運作。每次報價相對最近成交參考價格仍限制在 ±30%，並受既有商品價格上下限約束，因此不保證自由漲到任意價格。；價格 Q 策略目前會另外考慮實際成交價相對掛單前參考價的差異：買得較便宜、賣得較貴加分；賣出後扣除手續費一無所得扣分。國家買賣類別策略及掛單量策略原有獎勵保持不變，沒有交易時不虛構價格收益。；報價前參考價會跟隨換幣放大，避免換幣後價格獎勵拿舊面額做比較。
亂世演算_V8_5_9_財政決策回流版_完整套件,8.5.9,11,亂世演算_V8_5_9_財政決策回流版_說明.txt,金庫現有貨幣回流；財政 Q 策略；政策獎勵；Q 表可讀性
亂世演算_V8_5_10_市場流動性修正版,8.5.10,12,亂世演算_V8_5_10_市場流動性修正版_說明.txt,"銀行既有金庫回流：每 10 回合檢查銀行金庫占發行量和缺現金國家比例。金庫高於 35%、至少半數國家現金不足時，以發行量 1% 為基礎，隨金庫集中程度提高，每次上限為發行量 2.5%；銀行至少保留發行量 25%，不因這項回流增發新幣。原先每次固定上限 1%。以第 1690 輪金庫 29,555／發行量 40,000 估算，新上限約 1,000 枚／10 回合，實際金額受國家缺口與金庫準備金限制。；交易費：成交總價少於 100 枚時免最低 1 枚手續費；總價達 100 枚後按原費率 1% 計算，且賣方至少收到 1 枚。包括市場撮合與聯盟優惠交易。成交仍按原來的整數金幣結算規則，沒有改變報價、交易量或面額。；市場監測：當有可信成交樣本、某資源最近成交價貼住其價格下限、賣單量至少是買單量三倍，且過半存活國家缺現金時，另外標記「價格貼底、賣盤偏重及廣泛現金不足」。警示與原有「連續跌價且縮量」分開，不會憑這項警示額外發行貨幣。rl_monitor_latest.json 新增市場貼底、銀行占比及累計回流資訊。新的 market_liquidity_history.csv 每 100 回合記下銀行占比、金庫、累計政策費、手續費、回流、糧食買賣量、價格與警示；舊 rl_monitor_history.csv 欄位維持不變。"
亂世演算_V8_5_11_無貨幣模式,8.5.11,8,亂世演算_V8_5_11_無貨幣模式_說明.txt,停止市場掛單、撮合、成交、報價與三個市場交易 AI（交易方向、價格、數量）。；停止世界銀行收費、回流、增發、懸賞金、冠軍金幣、政策物價指數與換幣。；原有 Action 8 世界市場，以及聯盟子策略「優惠交易／資源交換」不會進入合法動作清單。；既有存檔的金幣欄位保留但不參與國家經濟狀態、Reward 或決策；新局不發行金幣。
亂世演算_V8_5_12_時間與重建保護修正版,8.5.12,7,亂世演算_V8_5_12_時間與重建保護修正版_說明.txt,"1 Game Loop／回合固定等於 1 個世界年。；預設每 2 個現實秒執行 1 回合。；每屆固定 500 回合，即 500 個世界年、預設約 1,000 現實秒。；屆期結算改看回合數，不再用牆上時間判定；暫停不會消耗世界年份。"
亂世演算_V8_5_14_空城失守修正版,8.5.14,8,亂世演算_V8_5_14_空城失守修正版_說明.txt,防守方仍有士兵：依原有會戰、攻城、求和與國都陷落機制處理。；防守方士兵歸零、城防仍大於零：強制進入攻城，最多被動抵抗 3 年。；防守方士兵與城防均歸零：國都在當年直接陷落，立即執行一次滅國結算。；防守方士兵歸零滿 3 年：即使尚餘部分城防，也因無人防守而陷落。
亂世演算_V8_6_0_安全態勢學習版,8.6.0,8,,
亂世演算_V8_6_1_五人聯盟成長修正版,8.6.1,8,亂世演算_V8_6_1_五人聯盟成長修正版_說明.txt,1 人：+0.20；2 人：+0.16；3 人：+0.10；4 人：+0.05
亂世演算_V8_6_2_附庸生存實驗版,8.6.2,8,亂世演算_V8_6_2_附庸生存實驗版_說明.txt,保護期最後 50 年，每年保證取得一次主決策機會。；系統只把國家加入當年決策名單，實際行動仍由安全態勢 Q 值自行選擇。；保護期內仍禁止主動宣戰、背刺、襲擾與號召圍剿。；剛脫保國家仍可被攻擊，不延長無敵期。
亂世演算_V8_6_3_附庸識別版_完整套件,8.6.3,8,亂世演算_V8_6_3_附庸識別版_說明.txt,國家總覽以「◇」標示仍在期限內的附庸國。；國家總覽以「♛」標示目前擁有附庸的宗主國。；附庸國狀態直接顯示宗主國與剩餘附庸年數。；宗主國狀態顯示目前附庸國數量。
亂世演算_V8_7_0_戰爭集結與戒嚴版,8.7.0,8,亂世演算_V8_7_戰爭集結與戒嚴版_說明.txt,宣戰後不再於同一年立刻造成傷亡。；進攻方需先集結 3～5 年，參數位於主程式頂部：；集結期間不計戰爭回合、不扣前線補給、不產生戰鬥傷亡。；防守方會立即收到「敵軍集結」警報，並顯示攻擊方及剩餘準備年數。
